anno_id| culture| region| example_id| category| concept| q1_input| q1_exp| q2_input| q2_exp| q3_input| q3_query| q3_rank| q4_input
A013|Indian|Delhi|40|color symbolism|Energetic|yes||yes||https://m.media-amazon.com/images/I/81Yjj3ZUXhL.jpg|indian religion  all symbols in red color 1 frame |8|Red color is considered the most powerful color in Hindu culture. It symbolizes energy, passion, strength, fertility, love, commitment, and divine presence. Most of the auspicious tasks in Hindu culture are done wearing red. The prayer altar is usually painted red. The warriors smeared their forehead red before going out on wars. Also, as per Hindu Vedic astrology red color represents Mars, the God of energy and vitality. 
A013|Indian|Delhi|73|cooking|Special Event foods|yes||yes||https://i.ytimg.com/vi/wxlb9Wqlf1w/hq720.jpg?sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD&rs=AOn4CLCWHZ0Gf9cTFQhwXgMbO6KJ7SSZbw|speacial thali India festive |8|Indians love their "Thali" or a plate with elaborate meals. This plate usually has one or more sweets and other items. Rice, dal(lentils), sabzi (vegetables), poori (deep-fried wheat bread) are a must in this plate. Also, mostly non-vegetarian food is avoided during festivities and prayers but in some parts of India, like in West Bengal, Hindus do have it during festivals. During certain occasions like Navratras , Hindus avoid eating onion and garlic too as it is considered "Tamsik" which means related to darkness
A013|Indian|Delhi|104|Folklore & myth||yes||no|The image here shows both the protagonists as female(based on their dresses). The story being discussed is that of Rama and Sita hence the image is not appropriate. Also, the backdrop is not relevant to the folklore.|https://www.shutterstock.com/image-photo/lord-ram-sita-laxman-forest-260nw-2524458833.jpg|ram and sita in forest during vanvaas|1|The image here shows Rama, Sita, and Lakshmana. Three main protagonists of Ramayana. This folktale teaches us about family values and morality. Rama obeyed his father's wishes and left for the jungle. His brother Lakshmana followed him to fulfill his brotherly duties. The folklore also has a deeper lesson that virtuous and truth triumphs. 
A013|Indian|Delhi|27|body adornment|Tattoos|yes||yes||https://m.media-amazon.com/images/I/51OufsTdNgL._AC_UF1000,1000_QL80_.jpg|henna design using henna cone|0|The image shows henna-dyed hands and the henna cones which are often used to apply henna. I included henna cones to show the tool for application and to emphasize the fact that it is all applied by hands.In India, it is still a common practice to put henna on hands at homes with these cones. Not only hands, women apply henna on their hair also to give it a shine, lustre and that beautiful burgundy tone. 
A013|Indian|Delhi|98|emotions|Relief|yes||not_sure|This picture displays an old haveli with green walls and is not very apt for the prompt. India is an agricultural country and has lush jungles. Another image with farms, jungles or Heart chakra(green colored) opening up could have been better. Even the Indian tricolor has green color and could have been used for this prompt.|https://www.shutterstock.com/image-illustration/heart-chakra-meditation-yoga-lotus-260nw-2266931667.jpg|lush green with heart chakra opening up and peace|2|This picture represents Heart Chakra in green. Heart chakra when opened up releases pain and ensures love and relief flows within. It also highlights the fact that meditation is a big thing in India and many people do Yoga and meditation daily. 
A008|Indonesia|Indonesia|40|color symbolism|Energetic|no|The closest practice or belief in my culture is symbolized by the color chocolate, as seen in Javanese culture. This color represents harmony with nature, stability, a strong character, warmth, and peace.||||||
A008|Indonesia|Indonesia|73|cooking|Special Event foods|yes||yes||https://cdn0-production-images-kly.akamaized.net/8C6gl9D9bPCZOtDzGqCqgQ3OZgI=/0x100:868x589/1200x675/filters:quality(75):strip_icc():format(jpeg)/kly-media-production/medias/2661273/original/008753900_1547055502-Nasi_Kuning.JPG|Nasi kuning adat jawa|1|This image features nasi kuning tumpeng, a traditional dish symbolizing special occasions in Indonesia, especially in Javanese culture. During a selamatan or thanksgiving ceremony, sharing nasi tumpeng fosters unity and harmony among participants.
A008|Indonesia|Indonesia|104|Folklore & myth||yes||yes||https://cdn0-production-images-kly.akamaized.net/8C6gl9D9bPCZOtDzGqCqgQ3OZgI=/0x100:868x589/1200x675/filters:quality(75):strip_icc():format(jpeg)/kly-media-production/medias/2661273/original/008753900_1547055502-Nasi_Kuning.JPG|Nasi kuning adat jawa|1|This image features nasi kuning tumpeng, a traditional dish symbolizing special occasions in Indonesia, especially in Javanese culture. During a selamatan or thanksgiving ceremony, sharing nasi tumpeng fosters unity and harmony among participants
A008|Indonesia|Indonesia|27|body adornment|Tattoos|yes||no|We have Nasi Kuning. Nasi kuning is very popular in Javanese. It's also provided in special event. |https://cdn0-production-images-kly.akamaized.net/Ce6jirv_ivjWmS5xgOFNjXthE9s=/1200x1200/smart/filters:quality(75):strip_icc():format(webp)/kly-media-production/medias/2661273/original/008753900_1547055502-Nasi_Kuning.JPG|Nasi kuning adat jawa|0|This image features nasi kuning tumpeng, a traditional dish symbolizing special occasions in Indonesia, especially in Javanese culture. During a selamatan or thanksgiving ceremony, sharing nasi tumpeng fosters unity and harmony among participants
A008|Indonesia|Indonesia|98|emotions|Relief|yes||yes||https://cdn0-production-images-kly.akamaized.net/8C6gl9D9bPCZOtDzGqCqgQ3OZgI=/0x100:868x589/1200x675/filters:quality(75):strip_icc():format(jpeg)/kly-media-production/medias/2661273/original/008753900_1547055502-Nasi_Kuning.JPG|Nasi kuning adat jawa|1|This image features nasi kuning tumpeng, a traditional dish symbolizing special occasions in Indonesia, especially in Javanese culture. During a selamatan or thanksgiving ceremony, sharing nasi tumpeng fosters unity and harmony among participants.
A012|Indonesian|Yogyakarta|40|color symbolism|Energetic|yes||not_sure|The image is more about an abstract art motive, not representing any Indonesian culture. The red color is not bold enough.
The reasoning is okay.|https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiSgV-ZgJrJXRLqN-Fm6Rh9jjdt7myKa5r6RiJMBAQtT-zHrojzoJwiK4Eawu4KhW31LJo0vFzv3VbP8V15C0JQYbluwjsLDPY2J0MgtEVsfmFKIE8o5tileMtj7I-eDji-HxddW0Wqrs4/s640/Sejarah-Asal-Usul-Tari-Piring-serta-Perkembangannya-Kumpulan-Sejarah.png|tarian adat nuansa merah minang|12|In Indonesia, red is often used in traditional and national ceremonies and costumes to represent bravery, energy, and passion.

The image shows women in red dress performing Tari Piring, an energetic traditional dance from Minangkabau.
